video_url,title,description,length,views,upload_date,related_tags,translations,speaker_name,speaker_profession,full_transcript,page_html
https://www.ted.com/talks/benjamin_seibold_what_is_phantom_traffic_and_why_is_it_ruining_your_life,What is phantom traffic and why is it ruining your life?,"You're cruising down the highway when all of a sudden endless rows of brake lights appear ahead. There's no accident, no stoplight, no change in speed limit, or narrowing of the road. So why is there so much traffic? It's due to a phenomenon called a phantom traffic jam. Benjamin Seibold explains why it happens and how we might prevent it in the future. [Directed by Cris Wiegandt, narrated by Addison Anderson, music by André Aires, AIM Creative Studios].",4:32,,2020-05-28T15:35:37+00:00,"['TED-Ed', 'travel', 'education', 'transportation', 'animation', 'physics', 'psychology', 'cars']","['English', 'Türkçe']",Benjamin Seibold,Educator,"{'00:12': 'You’re cruising down the highway when all of a sudden endless rows of brake lights appear ahead. There’s no accident, no stoplight, no change in speed limit or narrowing of the road. So why the @#$%! is there so much traffic?', '00:27': 'When traffic comes to a near standstill for no apparent reason, it’s called a phantom traffic jam. A phantom traffic jam is an emergent phenomenon whose behavior takes on a life of its own, greater than the sum of its parts. But in spite of this, we can actually model these jams, even understand the principles that shape them— and we’re closer than you might think to preventing this kind of traffic in the future.', '00:52': 'For a phantom traffic jam to form, there must be a lot of cars on the road. That doesn’t mean there are necessarily too many cars to pass through a stretch of roadway smoothly, at least not if every driver maintains the same consistent speed and spacing from other drivers. In this dense, but flowing, traffic, it only takes a minor disturbance to set off the chain of events that causes a traffic jam. Say one driver brakes slightly. Each successive driver then brakes a little more strongly, creating a wave of brake lights that propagates backward through the cars on the road. These stop-and-go waves can travel along a highway for miles.', '01:34': 'With a low density of cars on the road, traffic flows smoothly because small disturbances, like individual cars changing lanes or slowing down at a curve, are absorbed by other drivers’ adjustments. But once the number of cars on the road exceeds a critical density, generally when cars are spaced less than 35 meters apart, the system’s behavior changes dramatically. It begins to display dynamic instability, meaning small disturbances are amplified. Dynamic instability isn’t unique to phantom traffic jams— it’s also responsible for raindrops, sand dunes, cloud patterns, and more.', '02:16': 'The instability is a positive feedback loop. Above the critical density, any additional vehicle reduces the number of cars per second passing through a given point on the road. This in turn means it takes longer for a local pileup to move out of a section of the road, increasing vehicle density even more, which eventually adds up to stop-and-go traffic.', '02:41': 'Drivers tend not to realize they need to break far in advance of a traffic jam, which means they end up having to brake harder to avoid a collision. This strengthens the wave of braking from vehicle to vehicle. What’s more, drivers tend to accelerate too rapidly out of a slowdown, meaning they try to drive faster than the average flow of traffic downstream of them. Then, they have to brake again, eventually producing another feedback loop that causes more stop-and-go traffic.', '03:11': 'In both cases, drivers make traffic worse simply because they don’t have a good sense of the conditions ahead of them. Self driving cars equipped with data on traffic conditions ahead from connected vehicles or roadway sensors might be able to counteract phantom traffic in real-time. These vehicles would maintain a uniform speed, safety permitting, that matches the average speed of the overall flow, preventing traffic waves from forming. In situations where there’s already a traffic wave, the automated vehicle would be able to anticipate it, braking sooner and more gradually than a human driver and reducing the strength of the wave. And it wouldn’t take that many self-driving cars— In a recent experiment, one autonomous vehicle for every 20 human drivers was enough to dampen and prevent traffic waves.', '04:06': 'Traffic jams are not only a daily annoyance– they’re a major cause of fatalities, wasted resources, and planet-threatening pollution. But new technology may help reduce these patterns, rendering our roads safer, our daily commutes more efficient, and our air cleaner. And the next time you’re stuck in traffic, it may help to remember that other drivers aren’t necessarily driving spitefully, but are simply unaware of road conditions ahead— and drive accordingly.'}",
https://www.ted.com/talks/renzo_vitale_drottning_kristina,"""Drottning Kristina""","Composer and pianist Renzo Vitale performs his piece ""Drottning Kristina,"" bringing the audience along on a warm, meditative yet energetic instrumental journey that closely reflects the tempos of life.",,,2019-01-14T22:24:25+00:00,"['performance', 'music', 'piano']",,Renzo Vitale,"Sound geneticist, musician, acoustic engineer",{},
https://www.ted.com/talks/wendy_hawkins_let_them_be_scientists,Let them be scientists,The key to inspiring children to pursue science can be found in the curious and inquisitive spirit we all tap into as we first discover the world. Wendy Hawkins demonstrates why we need to inject a more experimental approach into our science curriculum to ensure that we stay connected to the scientist in all of us.,,,2018-07-30T21:16:39+00:00,"['science', 'education', 'teaching']",,Wendy Hawkins,Science sustainer,{},
https://www.ted.com/talks/stefaan_verhulst_using_corporate_data_to_improve_our_lives,Using corporate data to improve our lives,"Technology researcher Stefaan Verhulst thinks there might be a potential silver lining to the fact that corporations will collect all our data until the end of time. Citing examples like Twitter helping to data-map flooding in Indonesia and Uber helping Boston plan public transportation, Verhulst explains how corporations can serve the public interest and unleash insights while also protecting privacy.",,,2018-05-24T16:52:41+00:00,"['data', 'technology', 'Internet', 'government', 'privacy', 'business']",,Stefaan Verhulst,Technology researcher,{},
https://www.ted.com/talks/wobbly_world_diversity_in_harmony,Diversity in harmony,"As 12 musicians from disparate cultures harmonize their eastern and western scales, they show the long bridges that music can build.",,,2018-02-12T15:07:30+00:00,"['music', 'culture', 'arts']",,Wobbly World,World musicians,{},
https://www.ted.com/talks/carl_vause_meet_the_robot_designed_like_an_octopus_tentacle,Meet the robot designed like an octopus tentacle,"Everyday, robots perform tasks like picking apples, screwing lids on jars and sewing. But while robots excel at many things, designing them to grasp and handle delicate items has been a challenge. In this tech demo, robotics entrepreneur Carl Vause explains how the octopus tentacle inspired him to develop a machine capable of picking up the most fragile of objects.",,,2018-01-30T22:10:12+00:00,"['technology', 'robots', 'innovation', 'biology']",,Carl Vause,Robotics entrepreneur,{},
https://www.ted.com/talks/mark_halliday_bring_out_your_inner_filmmaker,Bring out your inner filmmaker,"Video is ubiquitous. Companies use it for entertainment, marketing, training – and customers generally expect it. Mark Halliday describes ""Studio in a Box,"" a program he put together which allows State Street employees to make professional-quality videos of their own.",,,2018-07-30T20:20:27+00:00,"['productivity', 'technology', 'film']",,Mark Halliday,Filmmaker,{},
https://www.ted.com/talks/elew_and_marcus_miller_entropy_order_and_the_theory_of_the_multiverse,"Entropy, order and the theory of the multiverse","Pianist ELEW and saxophonist Marcus Miller perform an ensnaring three-part set informed by their love of science, masterfully blending rock and jazz improv techniques. (Listen closely and you may also hear a take on Roger and Hammerstein's ""My Favorite Things."")",,,2020-01-24T13:01:51+00:00,"['music', 'performance', 'piano', 'jazz']",,Eric Lewis,"Pianist, DJ",{},
https://www.ted.com/talks/joe_davis_using_the_super_bowl_to_give_back,Using the Super Bowl to give back,"The Super Bowl is one of the biggest sports, cultural and media events of the year in the US. What if it could also score as a powerful engine for giving back to the community? Joe Davis reveals his game plan for doing exactly that when the big game came to San Francisco.",,,2017-12-01T18:27:15+00:00,"['sports', 'business', 'development', 'leadership', 'collaboration']",,Joe Davis,Game changer,{},
https://www.ted.com/talks/nathan_ide_democratizing_investing,Democratizing investing,"In 2013, the largest experiment in crowd-sourced investing happened in Australia, as everyday citizens took the reins on investing the country's pension fund. Nathan Ide explores how certain cultural characteristics of Australians have inspired this groundbreaking model for managing pensions.",,,2018-07-30T20:27:53+00:00,"['crowdsourcing', 'investment', 'finance']",,Nathan Ide,Investment champion,{},
https://www.ted.com/talks/frank_muller_pierstorff_circular_escape,"""Circular Escape""","Inspired by the repetition in our daily work lives, BCG Global Creative Director Frank Müller-Pierstorff created an electronic sound installation that combines musical and video loops to embody -- and ultimately break through --the ""cages"" of our routines.",,,2018-11-19T11:37:27+00:00,"['music', 'performance', 'art']",,Frank Müller-Pierstorff,Experimental sound artist,{},
https://www.ted.com/talks/steve_brown_why_machines_must_make_us_better_humans,Why machines must make us better humans,"We are rapidly moving towards a world where computers have the ability to not only process tons of information, but to gather it by seeing and hearing. Steve Brown takes a peek into the future to explore how these advances will impact our lives.",,,2018-08-13T20:48:41+00:00,"['future', 'society', 'computers']",,Steve Brown,Machine aficionado,{},
https://www.ted.com/talks/maria_popova_an_excerpt_from_figuring,"An excerpt from ""Figuring""","In a striking spoken-word performance, poet and thinker Maria Popova reads an excerpt from her book ""Figuring,"" accompanied by cellist Dave Eggar and guitarist Chris Bruce. This stunning meditation on the interconnectivity of lives shatters ""the illusion of separateness, of otherness.""",,,2019-11-06T20:36:18+00:00,"['humanity', 'poetry', 'spoken word']",,Maria Popova,"Reader, writer",{},
https://www.ted.com/talks/jonathan_koch_a_data_translation_toolkit_that_anyone_can_use,A data translation toolkit that anyone can use,"Every day, we're inundated with heaps of data and no easy way to decipher it. It's easy to feel overwhelmed in the face of this avalanche of information. With three simple tools, Jonathan Koch outlines how each of us can better understand data to make more informed decisions in our professional and personal lives.",,,2018-01-08T14:20:41+00:00,"['society', 'business', 'data']",,Jonathan Koch,Data translator,{},
https://www.ted.com/talks/the_holladay_brothers_to_the_beat_of_light,To the beat of light,"Musicians Ryan and Hays Holladay blur the boundaries of sight and sound, creating a visual experience where music becomes the performer, rather than the performance with captivating colorful explosions that react to their music's slightest beats and tones.",,,2018-02-12T18:41:22+00:00,"['technology', 'music', 'art']",,Hays Holladay,Musician,{},
https://www.ted.com/talks/levon_biss_macro_portraits_of_microscopic_insects,Macro-portraits of microscopic insects,"Two decades into his career photographer Levon Biss decided to cast aside humans and focus on a new subject: insects. In this visual talk, Biss explains how he developed a fascinating process using composite macro-photography to capture stunning images of creatures that measure mere millimeters.",,,2019-04-09T17:37:44+00:00,"['art', 'photography', 'animals', 'insects', 'creativity']",,Levon Biss,,{},
https://www.ted.com/talks/john_bidden_not_about_me,"""Not About Me""","John Bidden and his band return to the TED@UPS stage with an upbeat, reggae-inspired original performance of ""Not About Me"" that is sure to get you dancing.",,,2018-09-11T20:01:13+00:00,"['music', 'arts', 'performance']",,John Bidden,Musician,{},
https://www.ted.com/talks/tim_exile_finding_music_in_mundanity,Finding music in mundanity,"Inventor of electronic instruments and DJ, Tim Exile, believes if we listen, we can make music from the noises we hear every day. In this live performance, he takes sounds recorded from around the TED@Merck KGaA, Darmstadt, Germany conference and mixes them in-front of the audience to create a one of a kind audio track.",,,2018-01-30T22:20:16+00:00,"['innovation', 'music', 'technology', 'performance']",,Tim Exile,Electromusician,{},
https://www.ted.com/talks/lisa_marie_johnston_home_to_oakland_and_walk_away,"""Home to Oakland"" and ""Walk Away""","Celebrating her hometown of Oakland through her music and unique ""stomp and groove"" style, sing-songwriter Lisa Marie Johnston performs two songs that blend the country, Americana and blues genres.",,,2018-02-12T16:22:00+00:00,"['music', 'performance', 'singer']",,Lisa-Marie Johnston,Musician,{},
https://www.ted.com/talks/peggy_weil_visualizing_climate_change_through_space_and_time,Visualizing climate change through space and time,"Climate change feels like a distant, abstract problem to those who are not directly affected. Artist Peggy Weil visualizes the phenomenon by mapping climate change across time and space through images and video that dive deep into places such as the vertical landscape of Greenland's ice cores and the changing mass of water inside Earth.",,,2019-02-25T17:26:43+00:00,"['art', 'activism', 'climate change', 'social change', 'visualizations']",,Peggy Weil,Artist,{},
https://www.ted.com/talks/paul_cater_deaton_are_our_cultural_narratives_killing_sharks,Are our cultural narratives killing sharks?,"Why do our cultural narratives about sharks center around the misguided notion that they're villainous or mindless killing machines? In this passionate talk, filmmaker Paul Cater Deaton does some shark-related myth-busting and argues that we need to come up with some fact-based stories to help rehabilitate the image of these near-extinct animals.",,,2019-07-30T17:22:06+00:00,"['conservation', 'oceans', 'global issues', 'fish', 'culture']",,Paul Cater Deaton,Cinematographer,{},
https://www.ted.com/talks/neylan_mcbaine_lessons_from_utah_s_legacy_of_women_s_suffrage,Lessons from Utah's legacy of women's suffrage,"The first legal ballot cast in the United States by a woman was in Utah -- a culminating moment in a trailblazing local women's suffrage. In this talk, Neylan McBaine tells the little-known story of this movement and details the ways its triumphs (and setbacks) are relevant to contemporary struggles for equality.",,,2018-12-18T16:37:13+00:00,"['women', 'activism', 'human rights', 'history', 'United States']",,Neylan McBaine,Women's Advocate,{},
https://www.ted.com/talks/glenn_cantave_the_case_for_ar_and_vr_in_activism,The case for AR and VR in activism,"In this passionate talk, activist and entrepreneur Glenn Cantave shares how he and his team use technology to amplify the narratives of marginalized communities using virtual and augmented reality.",,,2019-02-13T19:41:25+00:00,"['technology', 'activism', 'social change', 'virtual reality', 'augmented reality']",,Glenn Cantave,Activist & Entrepreneur,{},
https://www.ted.com/talks/marcus_adrian_what_i_learned_designing_a_school_for_the_deaf,What I learned designing a school for the deaf,Does a school for the deaf need to be quiet? Architect Marcus Adrian explains how the answer put him on the road to identifying a key element of designing for accessibility -- understanding the spectrum of human ability and celebrating what people do well instead of focusing on what they can't.,,,2018-01-23T18:13:59+00:00,"['design', 'disability', 'education', 'innovation', 'children']",,Marcus Adrian,,{},
https://www.ted.com/talks/john_kluge_jr_solving_the_sanitation_crisis,Solving the sanitation crisis,"The lack of private and fully functioning toilets threatens the health and welfare of too many people. John Kluge, co-founder of Toilet Hackers, explains that access to toilets affects everything from education to the economy, and offers some workable solutions to address the crisis.",,,2018-07-30T21:24:04+00:00,"['water', 'sanitation', 'development']",,John Kluge Jr.,Global hygienist,{},
https://www.ted.com/talks/christian_schroter_how_we_re_tracking_medical_donations_across_the_world,How we're tracking medical donations across the world,"What if you could track donations of medicines that help treat over one billion of the world's poorest people against neglected tropical diseases, the same way you track the package you order on Amazon? Working with supply chain experts from around the world, biochemist Christian Schröter developed a method for tracking medical donations from the warehouse to places like the back country of Mozambique -- all using something as simple as a cellphone.",,,2018-01-30T22:12:19+00:00,"['medicine', 'poverty', 'disease', 'health care', 'global development', 'telecom', 'technology']",,Christian Schröter,Business integrator,{},
https://www.ted.com/talks/julie_chang_why_we_need_to_design_cameras_for_robots,Why we need to design cameras for robots,"In this eye-opening talk, computational imaging researcher Julie Chang discusses how we can customize AI-driven photo applications to improve their ability to perform tasks such as facial recognition.",,,2018-12-17T21:21:28+00:00,"['technology', 'AI', 'computers', 'photography', 'algorithm']",,Julie Chang,Bioengineering PhD student,{},
https://www.ted.com/talks/b_e_a_t_nyc_b_e_a_t_nyc_performs_at_ted_statestreet,B.E.A.T. NYC performs at TED@StateStreet,"Bridging Education and Art Together (B.E.A.T.) transforms the lives of youth in under-served areas through music, dance and writing programs which include beatboxing, B-boying and B-girling (breakdance), music production and composition, and creative writing.",,,2018-07-30T20:48:14+00:00,"['music', 'dance', 'writing']",,B.E.A.T. NYC,"Musicians, Dancers and Writers",{},
https://www.ted.com/talks/majiker_who_says_you_can_t_play_the_piano_with_your_foot,Who says you can't play the piano with your foot?,"Producer, songwriter, beatboxer and vocal arranger MaJiKer uses his whole body to express himself musically. Here, he premieres an experimental new piece that combines piano (occasionally played with his foot and head) with beatboxing, to wild effect.",,,2017-12-01T16:32:39+00:00,"['music', 'performance', 'performance art']",,MaJiKer,Body percussionist,{},
https://www.ted.com/talks/dan_walker_can_we_print_smart_objects,"Can we ""print"" smart objects?","According to technologist Dan Walker, the future is going to be printed. Well, not exactly, but many things that we today patch together or assemble, will actually come to us as complex printed objects. By loading the standard printers we use today with special inks that conduct electricity, we can print electronic circuits onto the objects, making it even easier to connect them to the Internet of Things.",,,2018-01-30T22:14:35+00:00,"['electricity', '3D printing', 'innovation', 'technology']",,Dan Walker,Advanced technologist,{},
https://www.ted.com/talks/monica_palacio_why_the_district_of_columbia_should_get_an_equal_right_to_vote,Why the District of Columbia should get an equal right to vote,"If you're a law-abiding American citizen, you've entered a social contract whose terms guarantee services and protections from the government, and the right to vote for the people and laws that provide them. Unless, that is, you live in the District of Columbia, the nation's capital. Civil rights lawyer Mónica Palacio explains how DC came to lack voting representation in Congress -- and why it needs to change.",,,2018-11-05T22:14:22+00:00,"['democracy', 'politics', 'society', 'United States']",,Monica Palacio,,{},
https://www.ted.com/talks/lars_jonsson_healthcare_anthem_of_merck_kgaa_darmstadt_germany,"""Healthcare Anthem of Merck KGaA, Darmstadt, Germany""","A thoughtful ode to health care, composed by Tilo Alpermann and performed on the TED@Merck KGaA, Darmstadt, Germany stage by Lars Jönnson.",,,2019-01-14T22:22:00+00:00,"['performance', 'piano', 'arts']",,Lars Jönsson,Pianist,{},
https://www.ted.com/talks/flor_de_toloache_ruisenor_no_hay_vuelta_atras,"""Ruiseñor"" / ""No Hay Vuelta Atrás""","All-female Mariachi band Flor de Toloache take their name from a Mexican medicinal flower that's known to be an ingredient for love potions. Between two captivating songs, learn more about how the group is making a mark on Mariachi history.",,,2019-05-28T20:54:23+00:00,"['performance art', 'music', 'performance', 'live music']",,Flor de Toloache,Mariachi band,{},
https://www.ted.com/talks/lana_yarosh_how_technology_can_reconnect_parents_and_kids,How technology can reconnect parents and kids,"When children are separated from their parents -- whether due to migration, custody changes, incarceration or any number of other factors -- how can families maintain connection? Computer scientist Lana Yarosh showcases why it's important to design technology that empowers people to share meaningful interactions beyond a video chat or phone call, granting them the chance to reconnect despite life's big disruptions.",,,2017-11-10T15:57:52+00:00,"['technology', 'children', 'family', 'parenting', 'relationships']",,"Lana Yarosh, Ph.D.","Assistant Professor, University of Minnesota Department of Computer Science and Engineering",{},
https://www.ted.com/talks/robin_hooker_a_makerspace_for_everyone,A makerspace for everyone,"Growing up tinkering in his father's workshop, Robin Hooker always had a space to reimagine the world -- to modulate, mashup, remix and repair things. As an adult, he realized not everyone has access to a space where they can safely experiment. Hooker argues for democratizing access to public, shared workshops, commonly called ""makerspaces,"" that provide room for the collision of ideas; where inventors and hobbyists alike can collaborate, accelerate innovation and build community with magical results.",,,2018-09-11T19:46:08+00:00,"['innovation', 'creativity', 'collaboration']",,Robin Hooker,Makerspace mastermind,{},
https://www.ted.com/talks/natalie_gunn_the_mind_body_problem_of_scientific_discovery,The mind-body problem of scientific discovery,"Natalie Gunn makes a case for thinking of our minds and bodies as a continuum rather than a duality. She's especially intrigued by how this continuum may relate to cancer and whether our mindset impacts the disease. Natalie argues that we have to take the question seriously: ""We need to investigate how a disease of the body could be impacted by our mind."" She explores where the body ends and the mind begins, and investigates where the two connect.",,,2018-02-12T17:53:36+00:00,"['disease', 'cancer', ""Alzheimer's"", 'biology', 'mind']",,Natalie Gunn,Biological architect,{},
https://www.ted.com/talks/jason_jay_how_to_benefit_from_uncomfortable_conversations,How to benefit from uncomfortable conversations,"Facilitator Jason Jay dissects how conversations sour, offering ways to move past the discomfort and even harness the creative energy of disagreement.",,,2018-11-12T15:44:16+00:00,"['Social Science', 'language', 'communication', 'society', 'Debate']",,Jason Jay,"Director of Sustainability, Sloan School of Management, MIT",{},
https://www.ted.com/talks/raj_panjabi_investing_in_health_care_workers_strengthens_communities,Investing in health care workers strengthens communities,"Physician and 2017 TED Prize recipient Raj Panjabi shares an update on Last Mile Health and the mission to build and scale a network of community health workers who provide essential medical services to their neighbors. Learn how the movement is creating fair, meaningful jobs -- and an equitable health care system that reaches everyone.",,,2020-04-10T14:25:57+00:00,"['technology', 'health care', 'humanity', 'medicine', 'health', 'society', 'illness']",,Raj Panjabi,Physician,{},
https://www.ted.com/talks/abbey_williams_my_ghost_town_road_trip,My ghost town road trip,"Explorer and artist Abbey Williams has focused her lens on an eclectic collection of ghost towns that litter the American landscape. With a portfolio of haunting images, Williams contemplates the transitory nature of the places we inhabit, ultimately asking: what do these abandoned cityscapes reveal to us about our modern cities and towns?",,,2018-07-30T20:30:43+00:00,"['cities', 'exploration', 'art']",,Abbey Williams,Ghost town sojourner,{},
https://www.ted.com/talks/robert_prill_the_microbes_in_our_food_can_save_lives,The microbes in our food can save lives,"Does food talk? And if so, what is it saying? Microbe researcher Robert Prill decodes the messages sent by microorganisms to discover the telltale and potentially deadly signs of contaminated foods. Prill says that by paying closer attention we can save lives and better protect our food supply from adulteration.",,,2018-02-12T16:23:38+00:00,"['science', 'food', 'biology']",,Robert Prill,Bacteria enthusiast,{},
https://www.ted.com/talks/aaron_horowitz_can_a_teddybear_change_how_children_relate_to_their_own_disease,Can a teddybear change how children relate to their own disease?,"Aaron Horowitz wants to empower some of the most vulnerable individuals -- children fighting for their health. In their struggle against disease, he believes play can have significant role. He creates smart toys that give children fun ways to engage with, understand and communicate their health - transforming how they and their families relate to their disease and each other.",,,2018-02-12T16:10:43+00:00,"['children', 'health', 'disease', 'communication']",,Aaron Horowitz,Health + Play Engineer,{},
https://www.ted.com/talks/juliane_gallina_a_library_of_minds,A library of minds,What if you could consult Winston Churchill on a looming international crisis? Or ask Einstein what he thinks about the latest scientific breakthrough? National security expert Juliane Gallina is working on a way to harness the best thinking strategies of all time.,,,2018-02-12T15:00:29+00:00,"['brain', 'AI', 'books']",,Juliane Gallina,National security expert,{},
https://www.ted.com/talks/yue_xiu_lim_white,"""White""","Yue Xiu Lim has long been enamored with the peaceful sound of the Chinese guzheng, a harp-like instrument that dates back to ancient times. She delights the audience with her calming and elegant original piece, ""White.""",,,2018-09-11T19:47:11+00:00,"['music', 'performance', 'arts']",,Yue Xiu Lim,Guzheng player,{},
